Date, #words, #positive, #negative, pos freq, neg freq, volume, close
2008-08-22, 128678, 4200, 1488, 0.03263961205489672, 0.011563748270877694, 109100300, 4400.45
2008-08-23, 42143, 1251, 483, 0.029684645136796146, 0.011460978098379327, , 
2008-08-25, 128163, 4502, 1500, 0.035127142779117215, 0.011703845883757403, 65140600, 4355.87
2008-08-26, 109034, 3916, 1337, 0.03591540253498909, 0.012262230130051177, 106230100, 4368.55
2008-08-27, 120621, 4152, 1376, 0.03442186683910762, 0.011407632170185955, 123753900, 4373.08
2008-08-28, 145370, 5269, 1792, 0.036245442663548184, 0.012327165164752012, 169292000, 4461.49
2008-08-29, 129406, 5041, 1464, 0.03895491708267004, 0.011313231225754602, 161011900, 4482.6
2008-08-30, 50702, 1570, 604, 0.030965247919214234, 0.011912745059366495, , 
2008-09-01, 136823, 4716, 1559, 0.03446788917068037, 0.01139428312491321, 94363000, 4472.13
2008-09-02, 120315, 4484, 1350, 0.03726883597223954, 0.01122054606657524, 197446600, 4539.07
2008-09-03, 135742, 4675, 1624, 0.03444033534204594, 0.011963872640744942, 145810700, 4447.13
2008-09-04, 148108, 5338, 1797, 0.0360412671834067, 0.012133038053312447, 188287500, 4304.01
2008-09-05, 133960, 4841, 1694, 0.03613765303075545, 0.012645565840549417, 205787800, 4196.66
2008-09-06, 60732, 1856, 706, 0.030560495290785746, 0.011624843575051044, , 
2008-09-08, 175691, 6580, 2096, 0.0374521176383537, 0.011930036256837289, 219676100, 4340.18
2008-09-09, 173976, 6697, 2114, 0.038493815238883525, 0.01215110130132892, 176167200, 4293.34
2008-09-10, 159946, 6204, 1996, 0.038788090980705986, 0.01247921173396021, 185012400, 4283.66
2008-09-11, 167358, 5608, 1940, 0.033509004648717124, 0.011591916729406421, 169029600, 4249.07
2008-09-12, 198171, 7090, 2331, 0.035777182332430074, 0.011762568690676234, 145314900, 4332.66
2008-09-13, 54183, 1679, 702, 0.03098757912998542, 0.012956093239576989, , 
2008-09-15, 192477, 7384, 2523, 0.038363025192620415, 0.013108059664271575, 305211400, 4168.97
2008-09-16, 176441, 6584, 2498, 0.037315589913908896, 0.014157707108891924, 316683500, 4087.4
