Date,Open,High,Low,Close,Volume,Adj Close
2008-01-16,5216.22,5289.05,5177.68,5225.39,233648700,5225.39
2008-01-15,5390.37,5394.14,5250.09,5250.82,192383100,5250.82
2008-01-14,5345.83,5421.22,5343.25,5403.51,142891500,5403.51
2008-01-11,5398.49,5410.91,5349.25,5371.41,178858400,5371.41
2008-01-10,5468.54,5471.82,5394.52,5400.43,166136700,5400.43
2008-01-09,5459.40,5463.07,5420.06,5435.42,198041500,5435.42
2008-01-08,5476.51,5533.93,5471.14,5495.67,174857100,5495.67
2008-01-07,5432.00,5475.25,5429.32,5452.83,181161800,5452.83
2008-01-04,5543.69,5567.09,5417.53,5446.79,162947200,5446.79
2008-01-03,5538.20,5559.05,5515.61,5546.08,117504500,5546.08
2008-01-02,5609.98,5665.94,5530.43,5550.36,100458200,5550.36
2007-12-31,5621.12,5621.83,5600.62,5614.08,21781800,5614.08
2007-12-28,5595.19,5640.00,5593.92,5627.25,64864000,5627.25
2007-12-27,5626.13,5656.14,5617.66,5627.48,82236200,5627.48
2007-12-24,5619.86,5621.80,5603.40,5614.28,23649000,5614.28
2007-12-21,5577.10,5622.61,5562.68,5602.77,286831900,5602.77
2007-12-20,5520.96,5549.52,5493.75,5511.45,134068100,5511.45
2007-12-19,5516.78,5547.76,5465.98,5497.42,122648800,5497.42
2007-12-18,5498.62,5581.18,5498.62,5509.37,129472800,5509.37
2007-12-17,5532.67,5541.56,5499.57,5514.88,143939200,5514.88
2007-12-14,5624.95,5631.54,5560.59,5605.36,115568300,5605.36
2007-12-13,5677.16,5677.20,5582.11,5590.91,167342600,5590.91
2007-12-12,5650.42,5795.22,5625.01,5743.32,158409200,5743.32
2007-12-11,5765.27,5768.22,5702.53,5724.76,127539800,5724.76
2007-12-10,5683.60,5771.44,5681.36,5750.92,120277100,5750.92
2007-12-07,5700.46,5744.76,5700.46,5718.75,138365500,5718.75
2007-12-06,5681.71,5724.51,5627.68,5673.76,142319700,5673.76
2007-12-05,5585.73,5663.22,5577.27,5659.07,130749300,5659.07
2007-12-04,5619.63,5621.87,5538.32,5547.21,154046600,5547.21
2007-12-03,5654.10,5680.48,5620.19,5629.46,135402100,5629.46
2007-11-30,5602.58,5685.53,5597.22,5670.57,180490500,5670.57
2007-11-29,5596.69,5615.00,5550.00,5598.11,137166100,5598.11
